provincia,campaña,cultivo,rendimiento,unidad
Cordoba,2023/24,Soja,3461.0,kg/ha
Córdoba,2023/24,Soja,3374.3,kg/ha
Entre Ríos,2021/22,Soja,2638.1,kg/ha
Entre Ríos,2023/24,Soja,2895.9,kg/ha
La Pampa,2023/24,Soja,2609.4,kg/ha
Salta,2021/22,Soja,2459.1,kg/ha
Santiago del Estero,2023/24,Soja,2608.7,kg/ha
Entre Ríos,2021/22,Soja,2976.5,kg/ha
Santa Fe,2021/22,Maíz,9552.0,kg/ha
Buenos Aires,2023/24,Maíz,8078.1,kg/ha
Córdoba,2022/23,Maíz,6526.5,kg/ha
Salta,2021/22,Soja,,kg/ha
Entre Ríos,2021/22,Maíz,8793.0,kg/ha
Santiago del Estero,2022/23,Maíz,4502.6,kg/ha
Tucumán,2023/24,Soja,2309.8,kg/ha
Córdoba,2021/22,Maíz,9737.0,kg/ha
Córdoba,2021/22,Soja,3778.5,kg/ha
Salta,2023/24,Soja,2465.5,kg/ha
Santiago del Estero,2022/23,Maíz,3829.7,kg/ha
Santiago del Estero,2021/22,Soja,2072.6,kg/ha
Buenos Aires,2021/22,Soja,3241.9,kg/ha
Buenos Aires,2022/23,Maíz,6508.9,kg/ha
Salta,2021/22,Maíz,6016.7,kg/ha
Santiago del Estero,2023/24,Maíz,,kg/ha
buenos aires ,2021/22,Soja,2815.0,kg/ha
Salta,2022/23,Soja,1985.6,kg/ha
Entre Ríos,2023/24,Maíz,8557.6,kg/ha
Tucumán,2021/22,Soja,2690.5,kg/ha
Entre Ríos,2021/22,Maíz,8549.4,kg/ha
Buenos Aires,2023/24,Soja,3543.0,kg/ha
Santiago del Estero,2021/22,Maíz,5882.5,kg/ha
La Pampa,2021/22,Maíz,6893.6,tn/ha
Buenos Aires,2022/23,Soja,2111.9,kg/ha
Santa Fe,2023/24,Soja,3238.1,kg/ha
La Pampa,2023/24,Maíz,6266.0,kg/ha
Tucumán,2023/24,Maíz,7115.3,kg/ha
Santa Fe,2023/24,Soja,3704.9,kg/ha
La Pampa,2022/23,Maíz,4269.4,kg/ha
Entre Ríos,2023/24,Soja,3305.0,kg/ha
Cordoba,2022/23,Maíz,7328.5,kg/ha
Entre Ríos,2022/23,Maíz,5862.5,kg/ha
Córdoba,2022/23,Soja,2423.6,kg/ha
Tucumán,2021/22,Soja,2537.4,kg/ha
Entre Ríos,2021/22,Maíz,8747.9,kg/ha
La Pampa,2022/23,Maíz,4671.7,tn/ha
Santa Fe,2022/23,Maíz,6369.9,kg/ha
Tucumán,2021/22,Maíz,6578.7,kg/ha
Santa Fe,2021/22,Maíz,8630.9,kg/ha
Tucumán,2023/24,Maíz,5819.1,kg/ha
Salta,2021/22,Soja,2770.4,kg/ha
Entre Ríos,2023/24,Soja,3281.8,kg/ha
Córdoba,2021/22,Soja,3583.8,kg/ha
La Pampa,2023/24,Soja,2859.6,kg/ha
Santiago del Estero,2023/24,Soja,2459.8,kg/ha
La Pampa,2022/23,Soja,1676.1,kg/ha
Santiago del Estero,2021/22,Maíz,5330.3,kg/ha
Entre Ríos,2023/24,Maíz,8501.0,kg/ha
Buenos Aires,2021/22,Maíz,9284.4,kg/ha
CORDOBA,2022/23,Soja,2386.7,kg/ha
Tucumán,2022/23,Soja,1700.3,kg/ha
Entre Ríos,2022/23,Maíz,5836.9,kg/ha
Tucumán,2022/23,Soja,1990.5,kg/ha
La Pampa,2021/22,Soja,2523.6,kg/ha
Santa Fe,2022/23,Soja,2670.0,kg/ha
La Pampa,2021/22,Soja,2200.3,kg/ha
Santa Fe,2021/22,Soja,3289.9,kg/ha
Santa Fe,2023/24,Maíz,8860.6,kg/ha
Buenos Aires,2023/24,Soja,3038.0,kg/ha
Córdoba,2021/22,Maíz,9604.1,kg/ha
Entre Ríos,2022/23,Soja,2191.6,kg/ha
Santa Fe,2021/22,Maíz,8458.1,kg/ha
Santa Fe,2021/22,Soja,3592.7,kg/ha
BUENOS AIRES,2023/24,Soja,3154.4,kg/ha
Santa Fe,2023/24,Maíz,10494.8,kg/ha
Santiago del Estero,2021/22,Soja,2310.5,kg/ha
Entre Ríos,2021/22,Soja,2853.3,kg/ha
Bs As,2021/22,Soja,2965.0,kg/ha
Salta,2022/23,Soja,2061.6,kg/ha
La Pampa,2022/23,Soja,2045.1,kg/ha
Tucumán,2023/24,Maíz,6133.7,kg/ha
Tucumán,2023/24,Soja,2739.7,kg/ha
Salta,2022/23,Maíz,5358.8,kg/ha
Tucumán,2022/23,Maíz,3960.7,kg/ha
Santiago del Estero,2023/24,Soja,2689.4,kg/ha
Córdoba,2022/23,Soja,2277.5,kg/ha
Salta,2022/23,Maíz,4963.4,kg/ha
Buenos Aires,2021/22,Maíz,,kg/ha
La Pampa,2022/23,Maíz,4986.6,kg/ha
Buenos Aires,2022/23,Soja,2198.4,kg/ha
La Pampa,2021/22,Maíz,5529.2,tn/ha
Santiago del Estero,2022/23,Maíz,3991.0,kg/ha
La Pampa,2022/23,Soja,1788.4,kg/ha
Tucumán,2021/22,Soja,2159.1,kg/ha
Tucumán,2021/22,Maíz,5597.9,kg/ha
Córdoba,2023/24,Soja,3326.0,kg/ha
Santa Fe,2023/24,Maíz,8498.9,kg/ha
Santiago del Estero,2023/24,Soja,2397.8,kg/ha
Santa Fe,2023/24,Maíz,8590.9,kg/ha
La Pampa,2021/22,Maíz,6818.1,kg/ha
Santiago del Estero,2021/22,Soja,2389.9,kg/ha
Córdoba,2023/24,Maíz,9284.4,kg/ha
CORDOBA,2021/22,Maíz,10158.8,kg/ha
La Pampa,2022/23,Soja,1676.1,kg/ha
Entre Ríos,2021/22,Maíz,7686.9,kg/ha
Santiago del Estero,2021/22,Maíz,5507.1,kg/ha
Córdoba,2021/22,Maíz,9654.7,kg/ha
Tucumán,2022/23,Maíz,5099.1,kg/ha
Santiago del Estero,2022/23,Maíz,3898.9,kg/ha
Buenos Aires,2021/22,Maíz,7673.9,kg/ha
Buenos Aires,2021/22,Maíz,7559.6,kg/ha
La Pampa,2021/22,Maíz,6747.5,kg/ha
Entre Ríos,2022/23,Maíz,6115.3,kg/ha
Córdoba,2021/22,Soja,3302.8,kg/ha
Santiago del Estero,2022/23,Maíz,4017.8,kg/ha
Santa Fe,2023/24,Soja,,kg/ha
Buenos Aires,2023/24,Maíz,9654.7,kg/ha
Buenos Aires,2022/23,Maíz,5634.7,kg/ha
Bs As,2022/23,Soja,2392.4,kg/ha
La Pampa,2023/24,Maíz,6091.8,kg/ha
Santiago del Estero,2022/23,Soja,1886.8,kg/ha
Entre Ríos,2023/24,Maíz,7638.9,kg/ha
Santiago del Estero,2021/22,Soja,2072.6,kg/ha
Santa Fe,2023/24,Soja,3338.6,kg/ha
Salta,2021/22,Soja,2573.0,kg/ha
Salta,2023/24,Soja,2840.4,kg/ha
Entre Ríos,2022/23,Soja,,kg/ha
Entre Ríos,2022/23,Soja,1955.2,kg/ha
Salta,2022/23,Maíz,4515.3,kg/ha
Santiago del Estero,2022/23,Soja,1531.9,kg/ha
Santiago del Estero,2023/24,Maíz,5928.9,kg/ha
Entre Ríos,2022/23,Maíz,5836.9,kg/ha
Salta,2023/24,Soja,2532.1,kg/ha
Santa Fe,2022/23,Soja,,kg/ha
Salta,2023/24,Maíz,6451.9,kg/ha
Buenos Aires,2021/22,Maíz,8343.8,kg/ha
Tucumán,2022/23,Maíz,4903.2,kg/ha
Salta,2022/23,Soja,1750.7,kg/ha
Santiago del Estero,2022/23,Soja,1603.0,kg/ha
Entre Ríos,2022/23,Soja,2070.1,kg/ha
BUENOS AIRES,2021/22,Soja,3183.7,kg/ha
Tucumán,2022/23,Maíz,4560.4,kg/ha
Buenos Aires,2022/23,Maíz,5634.7,kg/ha
Tucumán,2023/24,Soja,2815.5,kg/ha
Córdoba,2022/23,Soja,2297.9,kg/ha
Santa Fe,2021/22,Soja,3348.0,kg/ha
Cordoba,2022/23,Soja,2672.7,kg/ha
buenos aires ,2023/24,Soja,,kg/ha
Santa Fe,2021/22,Maíz,8064.2,kg/ha
CORDOBA,2023/24,Soja,3694.3,kg/ha
Córdoba,2023/24,Soja,3936.8,kg/ha
Salta,2021/22,Maíz,7193.6,kg/ha
buenos aires ,2022/23,Maíz,6442.4,kg/ha
La Pampa,2023/24,Maíz,6108.6,tn/ha
Salta,2023/24,Maíz,7000.5,kg/ha
Entre Ríos,2022/23,Maíz,6537.7,kg/ha
Salta,2022/23,Soja,,kg/ha
Santa Fe,2022/23,Maíz,,kg/ha
Entre Ríos,2023/24,Soja,2842.6,kg/ha
Entre Ríos,2023/24,Maíz,8995.3,kg/ha
Entre Ríos,2021/22,Maíz,7952.4,kg/ha
La Pampa,2022/23,Soja,2076.1,kg/ha
CORDOBA,2023/24,Maíz,10456.2,kg/ha
Santiago del Estero,2021/22,Maíz,5345.2,kg/ha
Salta,2021/22,Maíz,6805.8,kg/ha
Santiago del Estero,2021/22,Maíz,5337.0,kg/ha
Entre Ríos,2022/23,Maíz,5400.6,kg/ha
La Pampa,2023/24,Soja,2477.0,kg/ha
Salta,2023/24,Soja,2789.9,kg/ha
Santa Fe,2021/22,Soja,3379.2,kg/ha
Buenos Aires,2023/24,Soja,3379.8,kg/ha
Tucumán,2023/24,Maíz,6096.7,kg/ha
La Pampa,2023/24,Soja,2576.6,kg/ha
Santiago del Estero,2023/24,Soja,2594.3,kg/ha
Córdoba,2021/22,Maíz,10223.4,kg/ha
Salta,2023/24,Maíz,6266.2,kg/ha
Santiago del Estero,2022/23,Soja,1784.0,kg/ha
La Pampa,2023/24,Maíz,6924.6,tn/ha
Buenos Aires,2022/23,Maíz,6839.1,kg/ha
Salta,2021/22,Maíz,6215.4,kg/ha
Entre Ríos,2022/23,Soja,2256.8,kg/ha
Buenos Aires,2022/23,Maíz,5955.7,kg/ha
BUENOS AIRES,2023/24,Maíz,9142.8,kg/ha
Tucumán,2021/22,Maíz,5504.3,kg/ha
Salta,2023/24,Maíz,6963.9,kg/ha
Tucumán,2023/24,Soja,2788.6,kg/ha
Salta,2022/23,Maíz,5245.4,kg/ha
Santa Fe,2023/24,Maíz,9470.0,kg/ha
Entre Ríos,2023/24,Soja,3045.4,kg/ha
La Pampa,2021/22,Soja,2667.2,kg/ha
La Pampa,2021/22,Soja,2657.5,kg/ha
Salta,2021/22,Maíz,6578.1,kg/ha
La Pampa,2023/24,Maíz,6624.4,tn/ha
Tucumán,2023/24,Maíz,5558.5,kg/ha
BUENOS AIRES,2023/24,Maíz,8069.8,kg/ha
La Pampa,2021/22,Maíz,5986.2,tn/ha
Tucumán,2022/23,Soja,1687.4,kg/ha
Santiago del Estero,2022/23,Soja,1907.4,kg/ha
Tucumán,2023/24,Soja,2511.0,kg/ha
Santiago del Estero,2023/24,Maíz,5917.1,kg/ha
Santa Fe,2022/23,Soja,2519.1,kg/ha
La Pampa,2023/24,Soja,2656.4,kg/ha
Buenos Aires,2022/23,Soja,2189.5,kg/ha
buenos aires ,2022/23,Soja,2327.4,kg/ha
Salta,2022/23,Soja,1969.0,kg/ha
Córdoba,2021/22,Soja,3429.0,kg/ha
La Pampa,2022/23,Maíz,4202.9,tn/ha
Tucumán,2021/22,Soja,2504.0,kg/ha
Bs As,2021/22,Soja,2933.9,kg/ha
Santa Fe,2022/23,Maíz,6688.3,kg/ha
Cordoba,2022/23,Maíz,6724.2,kg/ha
Entre Ríos,2021/22,Soja,3075.2,kg/ha
Córdoba,2023/24,Maíz,9268.1,kg/ha
Santa Fe,2022/23,Maíz,6593.4,kg/ha
Salta,2022/23,Maíz,4878.0,kg/ha
Salta,2021/22,Soja,2553.8,kg/ha
Bs As,2023/24,Maíz,8581.8,kg/ha
Santa Fe,2022/23,Soja,2635.1,kg/ha
Santiago del Estero,2021/22,Soja,2262.9,kg/ha
La Pampa,2022/23,Soja,1688.5,kg/ha
Tucumán,2022/23,Soja,1774.4,kg/ha
Santiago del Estero,2021/22,Soja,2597.1,kg/ha
Tucumán,2021/22,Maíz,5742.9,kg/ha
Santa Fe,2022/23,Soja,2285.8,kg/ha
La Pampa,2021/22,Soja,2518.2,kg/ha
Tucumán,2021/22,Maíz,5917.8,kg/ha
Córdoba,2023/24,Maíz,10204.2,kg/ha
Salta,2023/24,Soja,,kg/ha
Córdoba,2022/23,Maíz,6792.0,kg/ha
Santiago del Estero,2023/24,Maíz,5402.7,kg/ha
Tucumán,2022/23,Maíz,4933.6,kg/ha
La Pampa,2022/23,Maíz,4980.7,tn/ha
Tucumán,2022/23,Soja,1764.8,kg/ha
Salta,2023/24,Maíz,7398.7,kg/ha
Santa Fe,2023/24,Soja,3457.6,kg/ha
Córdoba,2022/23,Maíz,6922.2,kg/ha
Tucumán,2021/22,Soja,2341.6,kg/ha
Córdoba,2021/22,Soja,3645.7,kg/ha
Córdoba,2023/24,Maíz,9721.9,kg/ha
Santa Fe,2021/22,Soja,3490.0,kg/ha
Santa Fe,2022/23,Maíz,6397.3,kg/ha
Santa Fe,2021/22,Maíz,8535.5,kg/ha
Entre Ríos,2023/24,Maíz,7914.1,kg/ha
Santiago del Estero,2023/24,Maíz,5985.6,kg/ha
Entre Ríos,2021/22,Soja,2665.8,kg/ha
